years,text_general_code,lat,lon
1,Other Assaults,39.916758,-75.163244
1,Thefts,39.921265,-75.170262
1,Thefts,39.952058,-75.160656
1,Fraud,40.04185,-75.18867
1,Other Assaults,40.061227,-75.083621
1,Fraud,40.01548,-75.170657
1,Rape,39.921038,-75.159611
1,Theft from Vehicle,40.052113,-75.188014
1,All Other Offenses,40.028763,-75.165549
1,Thefts,40.005567,-75.103332
1,Thefts,39.984113,-75.156682
1,Thefts,39.962244,-75.224347
1,Fraud,40.037918,-75.110674
1,Thefts,39.999836,-75.100716
1,All Other Offenses,39.986536,-75.15477
1,Thefts,40.01208,-75.112391
1,Fraud,40.035592,-75.082255
1,Fraud,40.031257,-75.091506
1,Fraud,40.075214,-75.087129
1,Thefts,39.969633,-75.140783
1,Thefts,39.919319,-75.23031
1,Thefts,39.978799,-75.118596
1,All Other Offenses,39.962228,-75.233259
1,Thefts,40.048777,-75.052959
1,Thefts,40.059217,-75.051505
1,Robbery Firearm,39.927197,-75.143739
1,Thefts,40.006264,-75.103193
1,All Other Offenses,39.991744,-75.124549
1,Other Assaults,40.060319,-75.166883
1,Thefts,39.980591,-75.172567
1,Thefts,39.921393,-75.146105
1,Theft from Vehicle,39.957828,-75.160274
1,Thefts,39.918435,-75.184619
1,Thefts,40.009068,-75.112869
1,Thefts,40.00755,-75.108846
1,Thefts,40.055096,-75.004388
1,Thefts,39.995551,-75.166634
1,Other Assaults,39.929864,-75.173522
1,Thefts,39.952238,-75.170281
1,Thefts,40.071548,-75.157682
1,Weapon Violations,39.996257,-75.139346
1,Theft from Vehicle,39.952507,-75.148172
1,Thefts,39.883546,-75.232354
1,Thefts,39.948238,-75.143267
1,Thefts,39.991454,-75.091662
1,Thefts,39.949868,-75.16809
1,Fraud,40.038065,-75.044853
1,Thefts,39.915513,-75.168149
1,Thefts,40.023094,-75.076588
1,Thefts,40.021479,-75.051804
1,Thefts,39.971584,-75.225815
1,Thefts,40.012113,-75.079253
1,Thefts,39.948512,-75.207338
1,Thefts,39.958197,-75.223285
1,Robbery Firearm,40.039539,-75.117206
1,Thefts,40.005801,-75.097015
1,Thefts,39.967995,-75.139875
1,Thefts,39.935632,-75.167128
1,Other Assaults,40.017131,-75.075094
1,Fraud,40.019735,-75.110473
1,Other Assaults,39.994063,-75.127521
1,Thefts,39.995746,-75.095575
1,Fraud,39.982137,-75.253314
1,Thefts,40.041782,-75.158722
1,Thefts,39.95372,-75.209221
1,Burglary Residential,40.054708,-75.138979
1,Thefts,40.072893,-75.033667
1,Thefts,40.006611,-75.213489
1,Thefts,39.976919,-75.230896
1,Thefts,40.009621,-75.098287
1,Fraud,39.979257,-75.136862
1,Other Assaults,40.0266,-75.174113
1,Thefts,40.095961,-75.016927
1,Fraud,39.938186,-75.162819
1,Other Assaults,39.967199,-75.14719
1,Other Assaults,40.048431,-75.15079
1,Thefts,40.061516,-75.14145
1,Thefts,40.008583,-75.163035
1,Thefts,40.039082,-75.144752
1,All Other Offenses,40.063102,-75.055025
1,Other Assaults,39.976724,-75.136686
1,Theft from Vehicle,39.995975,-75.119659
1,Thefts,39.949052,-75.162156
1,Thefts,39.947278,-75.166719
1,Fraud,40.043738,-75.136649
1,Other Assaults,40.003712,-75.103621
1,Arson,39.95493,-75.152112
1,Theft from Vehicle,40.040439,-75.042197
1,Robbery Firearm,40.038658,-75.078251
1,All Other Offenses,39.936135,-75.231609
1,Thefts,40.069287,-75.151203
1,Burglary Residential,39.97188,-75.175049
1,Thefts,39.926242,-75.166132
1,Thefts,39.926935,-75.156751
1,Other Assaults,39.918123,-75.153983
1,Thefts,39.959914,-75.205347
1,Thefts,39.934767,-75.195327
1,Thefts,40.110552,-74.978146
1,Thefts,40.017101,-75.087173
1,Fraud,40.046313,-75.16199
1,Fraud,40.026188,-75.091085
1,Thefts,39.979324,-75.232393
1,All Other Offenses,39.965895,-75.189041
